,XMD11-85h,Seliciclib,Masitinib,I-BET-762,CD532,Wee1 Inhibitor,FMK,Nilotinib,QS11,HG6-64-1,Selumetinib,Tipifarnib,AR-42,Bicalutamide,VX-702,NPK76-II-72-1,Apitolisib,AGI-6780,GSK1059615,YM201636,WZ3105,KIN001-244,NSC-207895,NVP-TAE684,CHIR-99021,Lestaurtinib,BAM7,DMOG,ARRY-520,NSC-87877,AS601245,A-770041,PAC-1,PFI-3,Thapsigargin,SL0101,Y-39983,XMD13-2,SN-38,Foretinib,CI-1040,Temsirolimus,GNF-2,Alisertib,Ruxolitinib,Lenalidomide,Piperlongumine,TPCA-1,FH535,QL-XI-92,Cyclopamine,Serdemetan,Imatinib,Linifanib,VX-11e,Enzastaurin,PI-103,Dactolisib,Rapamycin,Voxtalisib,WH-4-023,BX-912,CGP-082996,IC-87114,JQ1,JNK Inhibitor VIII,NU7441,LFM-A13,Pemetrexed,SB590885,MG-132,HG-5-88-01,Fedratinib,Talazoparib,Belinostat,Embelin,Parthenolide,AT-7519,Cytarabine,Docetaxel,GSK269962A,GSK690693,UNC0638,Phenformin,Vinblastine,GW441756,BX795,PF-562271,MK-2206,UNC1215,Bryostatin 1,PLX-4720,RO-3306,GW843682X,IOX2,Ponatinib,IPA-3,Entinostat,5-Fluorouracil,AICA Ribonucleotide,Ara-G,SGC0946,Cabozantinib,MIM1,TWS119,Tretinoin,SNX-2112,AZ628,Elesclomol,A-83-01,GSK1904529A,BMS-754807,Omipalisib,PD173074,TGX221,Mitomycin-C,Torin 2,Trametinib,GSK319347A,Dasatinib,PF-4708671,PHA-665752,EHT-1864,Bleomycin,AS605240,AST-1306,Erlotinib,NVP-BHG712,SU11274,Tenovin-6,XMD8-85,Sunitinib,MPS-1-IN-1,AZD7762,Palbociclib,PD0325901,JW-7-24-1,Wnt-C59,ACY-1215,PHA-793887,Flavopiridol,OSI-930,Saracatinib,ZG-10,A-443654,PIK-93,Tivozanib,OSI-027,Veliparib,ZM447439,AZD6738,AZD6482,SB216763,(5Z)-7-Oxozeaenol,CCT007093,Avagacestat,CP724714,FR-180204,BI-2536,Tamoxifen,Mirin,GW-2580,BIX02189,CAY10603,GSK429286A,PFI-1,Trichostatin A,WYE-125132,ZSTK474,AZD8186,Obatoclax Mesylate,QL-X-138,TAK-715,BMS-345541,Amuvatinib,AT7867,Linsitinib,Dabrafenib,Crizotinib,XAV939,YK-4-279,Epothilone B,Refametinib,KIN001-260,Navitoclax,Vorinostat,CCT-018159,kb NB 142-70,Bosutinib,Cetuximab,NSC319726,S-Trityl-L-cysteine,STF-62247,Nutlin-3a (-),WHI-P97,Etoposide,AKT inhibitor VIII,GSK650394,Pazopanib,Lapatinib,HG-5-113-01,Quizartinib,ETP-45835,KU-55933,Gemcitabine,CI-1033,Rucaparib,Dacinostat,C-75,CP466722,BMS-509744,AZD8055,FTI-277,Midostaurin,Selisistat,Tanespimycin,Tubastatin A,CPI-613,JNJ38877605,Sphingosine Kinase 1 Inhibitor II,Pictilisib,Luminespib,Pilaralisib,Vismodegib,Doramapimod,PF-00299804,TW 37,Tozasertib,Zibotentan,KIN001-266,JNK-9L,LDN-193189,Pevonedistat,BMS-536924,Bortezomib,Pelitinib,Daporinad,CUDC-101,Bexarotene,GSK1070916,T0901317,Gefitinib,OSU-03012,Idelalisib,Vinorelbine,Axitinib,QL-XII-47,XMD14-99,Shikonin,Paclitaxel,Sepantronium bromide,LGK974,Venotoclax,XMD8-92,Doxorubicin,Pyrimethamine,Alectinib,Ispinesib Mesylate,Methotrexate,AZD1480,Z-LLNle-CHO,KIN001-270,Salubrinal,Sorafenib,Panobinostat,Afatinib,SB505124,Temozolomide,Kobe2602,BAY-61-3606,CMK,Motesanib,NG-25,IMD-0354,FTY-720,UNC0642,CGP-60474,RU-SKI 43,CAY10566,BIBF-1120,CX-5461,Olaparib,LCL161
905947,,,1.813838,3.13915,0.446704,1.205337,3.73272,2.8806,0.205046,-1.251666,1.342696,-2.012398,-0.808134,4.309257,2.410589,3.173314,-0.079199,1.192347,0.504644,0.987519,-0.073206,2.757084,2.518288,,2.404146,0.102973,3.178367,8.425597,-5.971912,1.725767,0.917259,,-0.217272,4.409379,-6.992815,3.847561,3.452985,1.950236,-5.305187,-0.777388,1.123608,-3.316288,,0.669137,3.593159,3.511916,0.65823,2.399629,1.249276,2.525359,,0.632126,,1.44902,1.585988,1.416355,-1.936255,-3.460744,,4.508844,,1.909621,,4.598718,2.104078,3.916613,1.333568,3.461394,0.965781,2.996332,,,0.636655,2.539676,-0.386706,2.26801,,-0.288367,-0.452194,-4.906184,1.4288,0.198856,2.022738,6.551084,-4.096194,2.053218,1.651323,0.830883,1.328926,2.046909,-4.664724,4.775995,2.634283,,-0.231048,-1.1936,1.03727,,1.249657,7.081498,4.850572,1.210199,2.106835,2.965938,1.993487,3.507286,-2.381107,,-4.355285,3.233067,0.921877,0.042572,-3.157812,2.448541,,-2.700284,-1.548043,-1.293441,,,1.419829,,1.814983,-1.923449,2.287107,1.220756,,2.793047,2.359746,1.236256,,,2.87973,-1.293562,0.270055,-1.559271,-0.687926,1.884771,1.672685,0.928581,-2.180749,3.768429,,,,3.049412,-0.327853,-1.210323,2.890837,1.943564,1.149081,0.693221,4.234943,0.769173,1.988179,-1.039088,3.537151,4.526236,,3.132674,4.159607,4.438273,3.051288,0.017785,4.035863,2.035332,-1.861936,-1.418549,-0.846089,1.446859,-4.28424,-0.335414,3.101393,1.57614,3.833265,1.958469,1.706138,3.298694,,3.6703,1.203714,-9.178483,0.957349,4.720063,2.684913,1.615999,1.228546,1.96059,1.196352,4.925803,-4.659917,,2.314637,3.292145,2.939228,-0.64206,0.49891,0.621753,2.217989,,,2.126127,4.430436,3.479223,-4.786462,2.018949,3.292503,-4.475928,5.17267,1.346994,,0.116717,2.198793,-1.214262,4.693591,-2.062292,4.038341,5.115884,3.462916,3.034294,1.617956,-5.433559,2.995737,4.390362,3.865367,1.733462,1.026591,,4.490249,2.814786,-1.171269,-0.594604,-1.042609,2.250121,,0.252796,-4.028967,-0.980266,2.262509,0.193521,3.791898,-0.286388,-0.59197,2.98601,-5.58407,,-1.910948,2.598921,-0.410055,,-5.549355,2.328458,0.38258,,-2.91479,,3.583573,-4.688092,-1.374912,1.788101,,4.281293,,,-2.817141,3.210865,3.880956,4.349143,3.112532,0.350281,,2.193975,2.035969,-0.103837,1.350686,1.413647,,4.139182,2.894167,1.508526,0.893746,3.065328,3.530518
1331036,,,2.539258,-0.286901,-0.444833,1.629599,4.0784,1.162229,0.859166,-0.89311,2.754406,-0.31095,-3.30042,2.744257,2.097741,-0.231555,-2.430808,0.819297,-1.51878,-0.634015,-1.990377,1.184307,-0.421561,,1.731188,-2.631812,4.174601,2.808423,-6.728456,4.021603,1.107754,,-0.781743,3.177612,-5.931607,3.893702,-0.432833,1.558788,-7.601771,-1.832202,1.357846,-6.120424,,-2.280842,3.144808,3.258409,0.087236,-0.922847,1.425478,1.961034,,1.547111,,1.476342,0.235167,0.910263,-2.934098,-5.025487,,3.058042,,-1.563541,,2.810243,-0.393008,3.9871,0.554055,4.096184,-2.781795,2.644066,,,-0.289478,-0.105118,-3.053644,0.817107,,-2.0121,-1.934239,-6.393226,,-2.750172,0.973191,1.765069,-6.220356,,-0.124999,0.594236,-0.87719,1.2729,-3.611438,3.120144,2.898839,,-0.53067,-2.563716,0.68174,,1.806243,6.322947,4.48446,1.07868,1.123495,1.176061,-0.071825,3.165385,-3.915154,,-5.114168,3.784588,1.510652,0.090139,-6.123604,1.720062,,-2.71556,-3.814212,,,,2.527918,,3.161811,0.629666,2.283255,1.142101,,-0.82756,2.985222,-0.329657,,,2.015411,-4.191081,0.155914,-0.902578,-0.477047,1.681679,-0.744766,-1.902474,-3.044094,1.704023,,,,-1.588572,-0.566997,-2.032516,2.441553,-0.27575,-0.997771,-0.707606,3.951135,-0.620813,3.202199,2.38506,2.407862,3.255108,,2.335714,2.68764,3.992529,,-2.043882,2.912302,1.438493,-3.440692,-3.386736,-2.825862,-3.211659,-4.032076,-1.232945,2.503972,1.072217,0.528155,-0.220941,2.184807,1.278486,,,0.723366,-6.987543,2.111978,1.962588,2.315514,-0.388486,1.773872,0.768149,-0.306824,5.938394,-7.495539,,0.737646,0.768351,3.223071,-2.690444,0.46698,1.471021,2.780576,,,0.407092,4.134367,2.208641,-5.921668,0.190845,1.877445,-4.514512,2.113187,1.096364,,-2.267574,1.477257,-1.274764,3.290313,0.509631,1.061465,4.100497,3.480707,2.16855,-2.729384,-4.506516,2.467081,2.717891,,0.748945,-2.206984,,4.418997,2.175828,-1.419976,-0.261371,-1.610203,0.962238,,0.224238,-6.829581,-3.147423,2.70901,-5.046778,3.32169,0.587548,-0.073095,1.513049,-6.160422,0.566608,-0.74295,2.132788,-1.898804,,-5.122655,1.479468,-0.133563,,-5.24159,,2.352155,-4.619757,-3.736838,0.392356,,2.135797,,,-4.56139,1.942985,2.53803,3.900526,2.491544,-1.2019,,2.113892,-1.594797,-0.27353,0.49431,0.838508,,1.759228,,0.619034,-1.420274,1.297739,2.709647
1503366,2.100164,,2.967241,1.295728,-0.55518,3.158664,,2.320446,,,3.311055,,-1.373261,4.999801,2.105266,0.431095,-0.802608,1.06305,-0.343132,1.179331,-1.634703,1.442143,2.784135,,4.673549,-1.169603,1.562078,,-5.455996,,,,,4.626154,,4.396742,1.933782,2.785871,-4.259459,-0.136835,2.75571,-1.196986,,1.415458,3.645633,3.615042,1.80617,1.014587,,2.702982,,3.205296,,2.00893,2.09592,1.212536,2.375747,-1.936476,,4.177791,,1.633566,,5.43769,2.530674,4.968409,3.166377,,2.338764,3.868026,,3.45613,1.53166,2.648796,-0.708223,,,-0.698621,-0.542141,-4.927801,1.906656,2.436089,1.817022,10.397989,-4.442725,3.090064,0.949304,,0.965333,2.542917,,5.246044,3.82595,,0.388615,,,,1.001782,6.27009,5.273267,1.974986,2.165551,3.096724,2.126177,3.295722,-3.765848,,-4.112292,2.820783,,,-3.547588,2.004688,,,-2.075996,1.376322,,,4.78099,,4.369456,,4.710893,-2.250982,,2.397437,3.353334,1.320175,,,3.135269,-0.554363,3.546377,-0.389506,1.906151,2.477251,1.533908,-1.45491,-2.346189,4.825386,,0.712202,,2.50082,0.042316,1.603432,3.325601,1.726761,2.224987,2.921417,4.014559,2.113339,4.326562,3.889491,1.1266,3.516613,,3.524479,5.913012,5.494542,3.963025,0.174413,3.727145,2.023548,-3.096358,-2.089136,0.557449,1.791857,,1.395967,2.901511,1.376852,3.729451,1.152728,,4.9652,,4.217939,2.184681,,2.964294,4.151263,1.881828,0.381602,3.586516,2.00496,0.792729,5.957652,-7.250243,,4.795879,4.408468,2.979378,,0.983548,,,,1.6398,2.255997,3.948269,4.009885,-3.344345,-2.007249,4.109581,,5.31362,2.463367,,0.363438,,,5.276178,-3.900985,4.595399,5.690142,3.120822,2.911882,0.747704,,3.547317,3.699395,4.639845,-2.248692,0.10379,,5.357386,1.486951,,0.174629,2.47038,3.490217,,-2.111902,-0.982073,-1.300673,,1.017409,4.685781,-0.954754,,5.035483,,1.848247,-0.373412,3.250864,,,-5.569802,2.865881,0.919433,2.048559,-1.62386,,1.363528,-4.450574,-1.648465,1.533895,,5.315621,,,-3.801354,1.301637,1.574101,5.895984,2.76668,,,3.246356,0.967384,0.917313,1.718823,1.972783,,2.546167,3.142997,2.152223,0.009785,4.286627,2.816578
908147,,,,,,-0.566101,,1.905848,,,1.903206,,,3.213471,1.960961,,,,,,,,,,1.656391,-2.874129,,,,,,,,3.185967,,3.158724,,,-7.163839,,1.467899,-5.781108,,,,3.002069,0.241288,,,,,-1.349596,,,,,,-5.137541,,,,,,,-1.583972,2.888188,1.336242,,,1.593135,,,,-1.846553,,,,,-3.189866,-5.888484,-0.785633,,1.859893,,-6.132434,2.613354,0.731497,,-2.223339,1.298451,,2.475557,2.460887,,-0.703601,,,,,6.529432,,0.959876,,,,2.326261,,,-5.606301,,,,,0.961298,,,,-0.18301,,,2.493377,,1.296535,,,,,,,,,,,-2.528772,-2.207276,-0.448351,,,,,,,,,,,,,2.556265,-0.872594,-0.615805,,3.450559,-0.182677,,2.409636,,,,1.458797,2.575917,,,,,0.73612,,,,1.959087,,,,,,,,-0.462518,,2.502194,-0.567032,,2.010625,,-1.883814,-0.26326,1.206126,,-0.036625,5.84499,,,,-0.102816,,,,,,,,,,3.310849,-5.467328,,1.547331,,,,,-0.310407,,,,0.324314,,,,,0.375686,,,2.896218,3.223649,,-1.832701,,,,,,-1.447844,2.733524,,,-6.774034,,,,,0.569253,,,,0.423334,,,,,,,,,-5.219996,,,,-4.578921,0.996412,,,,,,2.517634,2.062273,4.463419,,,,2.403396,,,,0.91092,,,,,,1.434804,
909976,,4.721085,2.858565,5.02856,0.880524,1.855291,4.832424,2.453336,4.273998,1.493962,3.378675,2.061669,3.188666,3.903331,2.374976,1.347562,2.954154,1.146987,1.414958,2.170526,0.245595,2.66953,4.547981,0.452112,4.362952,1.009448,5.013918,7.629886,-5.064485,4.662577,2.061068,2.971276,0.654787,4.039901,-5.03825,3.538593,3.677964,2.179386,-2.719681,0.260688,3.38847,-0.892542,2.306453,1.502004,3.80047,3.578102,4.121904,2.719343,2.81003,3.061969,3.872052,2.995822,2.820555,1.826947,2.658013,2.956967,0.062843,-1.306774,-2.598914,4.081304,2.1463,2.64565,2.44853,5.131289,-0.743223,4.031748,2.146222,4.776276,3.527274,2.601776,-1.665963,,1.675592,3.972937,5.109312,3.19657,3.295112,0.258321,2.849778,-2.717788,2.369225,3.705197,4.775092,10.420852,-4.672495,2.42783,2.416592,2.403102,2.61999,1.755653,-2.715813,4.669582,3.539536,-4.277587,-0.19259,-0.285494,3.086954,0.447114,5.44718,6.851786,5.154677,1.387044,2.735452,2.785743,3.285923,3.567708,-1.316517,2.603644,-0.073089,3.728371,2.05688,1.188099,-2.911329,1.303407,3.837911,-1.934373,5.076048,2.098378,3.759225,2.009828,1.453643,2.854902,1.967591,1.956659,2.998954,2.177425,2.469745,2.7812,4.45324,3.156553,4.069918,2.623105,3.984695,0.559817,1.356391,1.268043,0.643585,2.594386,1.92825,1.622218,-0.864759,3.404657,2.830274,,-0.398644,2.773263,-0.429897,0.819637,3.065065,2.375489,2.205426,2.800229,4.100212,2.175187,3.043203,3.317591,4.476291,4.692641,-2.926713,3.670973,4.039458,5.155839,3.53176,5.028453,4.530681,4.41258,1.564463,2.403372,0.751465,2.574814,-0.309592,1.412127,3.297235,2.498788,3.70585,4.991127,2.666484,4.006374,2.124104,3.627363,1.076543,-5.079166,3.529546,4.128694,1.749187,1.66622,3.54974,2.152543,2.402702,6.294872,-1.2837,0.462737,3.937874,2.199189,4.270369,-0.019644,1.99936,3.815464,3.476658,2.852516,,1.178481,4.235683,3.277155,-1.56655,2.807442,3.11424,-2.480198,5.13773,2.063822,2.73216,0.602597,2.113268,0.190514,4.923995,0.415888,4.630809,4.520413,5.152446,3.022702,3.443402,-2.723984,3.705193,4.043981,4.411075,2.924566,1.027877,1.17321,4.868631,3.026369,0.298307,1.949384,1.652326,3.371804,-6.192124,1.680157,-5.702396,3.13106,3.956809,1.083753,3.555653,0.840713,2.242994,3.906085,-4.698653,1.725404,1.819695,3.405483,0.24621,-3.346521,3.382871,2.134395,0.798393,,-0.634851,2.420791,2.837362,-3.692947,-1.188708,1.916172,-0.136332,4.674082,2.808551,1.486928,-1.71628,4.348708,4.197704,5.065386,3.994416,2.515799,2.730561,2.06766,1.781632,-0.115853,2.639937,1.274886,-1.719957,4.411074,1.475386,4.750057,4.482269,3.560827,3.157286
906836,,3.183199,0.442462,2.796047,-0.214303,0.509052,4.274126,2.053899,2.219259,0.803998,2.763996,0.096536,-1.396158,4.11937,1.225363,2.310347,-0.570484,1.182175,-0.547285,2.785922,-1.568188,2.667669,3.952223,-5.255054,3.656565,-2.291551,4.861939,4.186416,-5.700721,4.248237,1.389535,1.981755,1.051897,3.426154,-4.56737,3.403881,1.990716,0.102834,-5.88078,0.220682,3.354881,,1.785471,-2.432305,2.419822,2.538114,1.05752,0.923004,1.958508,1.616597,2.10616,4.174781,2.465082,1.894675,1.63324,2.321264,-0.296323,-2.279929,-3.780992,3.312339,2.240767,1.588454,1.454499,4.376989,0.225639,3.342451,1.276314,3.955111,0.76571,2.455535,-0.882293,,0.245897,-0.460299,-1.139531,2.333643,0.409975,-1.669783,0.685388,-4.554613,1.996615,2.831048,2.095535,6.531955,-6.315444,2.519785,1.934377,0.871371,2.219842,1.939409,-3.413136,3.494795,2.555798,-3.866717,-0.501471,0.336548,2.250428,-1.055949,1.923342,6.735527,4.866965,1.442351,3.088303,1.882421,2.303668,3.046823,-1.726985,3.01489,-2.355887,3.816348,1.895913,0.136415,-2.419716,1.906403,4.378638,-2.423123,-2.215279,1.219416,3.316379,1.606122,3.899867,2.557311,4.040077,-0.406885,2.948108,1.021289,2.565343,3.962186,2.081184,1.074661,2.219613,0.642727,-0.623841,-2.907206,1.608496,-0.344266,-0.648982,1.613081,0.651353,-1.617056,-2.63015,2.022704,2.038028,,-1.528181,1.386401,-0.517162,-1.291465,2.456844,1.639891,0.567631,3.481624,2.884008,1.004791,3.759141,2.976641,3.458084,4.593347,-2.858751,2.591308,4.962766,4.867857,3.633006,-0.713446,3.681875,2.753043,-2.139954,-1.856149,1.517834,1.184766,-1.532267,-0.853315,2.996801,2.55448,0.563287,2.379264,2.809001,3.08113,-1.507058,3.352342,-0.202282,-5.7483,2.409739,1.199443,1.199997,0.25446,1.992403,1.437467,0.942819,6.318193,-6.320358,-0.016432,4.111709,3.111547,3.013716,-1.047385,1.788516,1.261234,2.844757,2.412988,,1.894901,4.082988,2.731064,-4.082022,2.467869,3.366571,-3.635503,2.789772,1.186074,2.398906,0.201602,0.788656,-0.795139,3.740798,-1.261967,3.169144,4.568547,2.870273,2.554173,1.55213,-3.523694,3.502772,2.886488,3.649136,1.450807,0.160748,0.43845,4.671618,2.742229,-1.062686,-0.451403,-1.749053,1.350807,-5.699013,0.156321,-2.944377,-1.419456,3.890308,0.716257,3.054609,0.058096,0.908311,3.794288,-5.875981,0.93311,0.247047,0.674485,-1.874793,-4.643602,-5.167929,2.335025,0.404204,,-1.969635,1.492868,-3.291526,-3.389446,-4.281633,-1.071083,-0.422926,3.950583,3.279021,0.865497,-4.103811,3.466491,2.863497,2.457014,4.867928,0.997728,0.299996,1.245919,1.98194,-0.927611,0.796706,1.020702,-3.746155,2.693248,2.473763,3.164624,2.387781,2.214285,1.536105
1295740,2.274268,4.3542,-2.982074,1.480599,-1.529764,1.611475,2.91956,-5.750255,3.748551,-4.606254,2.868484,-0.435711,-2.654026,3.882345,2.577929,-0.874313,-0.827108,1.193926,-1.156457,-0.312866,-3.045492,0.885156,2.455938,-1.035722,1.960477,-1.91381,4.603276,4.036337,-5.073158,4.501661,1.212287,-1.871217,-0.787056,3.368485,-6.31267,3.891264,2.683848,-0.804713,-6.961161,-2.461008,2.612117,-2.714781,-1.940412,-1.816672,2.59657,3.321827,1.238859,0.844482,1.106421,-0.572579,3.896042,2.62498,-3.580217,0.565951,-0.280173,-0.095776,-1.547395,-2.18738,-2.667478,3.441767,-4.166788,-2.784032,1.486399,4.239231,1.422887,4.079168,2.443421,3.142205,1.476506,3.381084,-0.60848,1.534957,-0.762363,0.910379,-2.001152,1.398522,0.611981,-2.259437,-2.109429,-5.46482,0.787199,-0.161557,1.067208,5.031956,-6.767649,2.559339,0.351817,0.331476,0.502215,1.740101,-2.97094,2.892403,3.49422,-4.605542,-0.541849,-7.290395,1.154142,-1.669637,3.690553,5.8947,1.484775,1.126578,-0.954143,2.427601,-1.548068,4.049901,-3.078785,-1.98262,-3.703959,2.516657,1.664625,-1.494788,-4.263836,2.028694,3.949851,-2.622333,-2.570819,0.117572,3.482725,-6.51695,3.93978,1.098507,3.345449,-0.775941,1.014267,0.678221,1.698708,-3.727977,1.732791,1.237812,1.91929,0.110947,1.787259,-2.352758,1.147018,0.633162,-0.158334,2.29169,-0.344422,0.539209,-1.613233,1.492232,-1.669944,-0.373478,-1.410455,0.422204,-4.11999,-0.976185,3.49422,0.040588,-0.31333,1.928665,3.542164,0.301187,3.461575,2.820238,3.976734,1.335453,-4.500533,2.678908,3.890044,4.879093,0.665338,-1.486892,3.075595,2.045335,-2.203031,-1.586301,-1.755378,1.309603,-2.709295,-0.48681,0.340979,0.133586,3.196002,1.639684,-0.353525,1.140959,-1.073077,2.991122,-0.284073,-6.833546,2.846346,2.069589,-2.640221,-0.504124,3.526607,1.597738,-0.959273,6.006346,-6.557713,0.146981,2.86643,2.750335,2.483992,-0.863722,-0.877531,0.293634,1.280383,2.574805,-0.224769,0.32528,4.217836,4.147724,-3.807921,0.194869,3.49422,-4.936901,2.673422,-0.271571,1.221524,-0.670074,1.510824,-1.479465,4.752805,1.796399,2.065724,5.151891,3.705743,2.824789,-0.281818,-3.866979,1.663037,3.882683,,0.844846,-0.248079,-3.98222,3.366427,2.571778,-0.234554,0.129581,-0.619313,0.550601,-7.265779,-2.751736,-6.834204,-3.268595,2.423445,-5.844472,3.060585,1.119868,0.990438,2.489542,-6.424235,-0.975473,-0.236766,3.219244,-0.742858,-5.371084,-1.605903,2.77701,-3.276787,2.409923,-2.307265,3.13933,2.494106,-4.123674,-2.225038,0.010972,-0.078726,3.277857,1.844891,0.272892,-4.496201,2.813806,3.057866,4.171794,3.484479,0.612479,0.690314,2.4004,-3.839925,-0.7266,1.043636,1.07515,-2.524188,2.648214,2.823944,-0.963252,0.968972,3.196307,2.24787
1240124,,,,,,4.13648,,3.655387,,,-0.616925,,,5.442093,4.530653,,,,,,,,,,3.795198,0.349294,,,,,,,,6.024929,,6.317534,,,-2.564039,,2.717183,1.67183,,,,5.584253,3.337897,,,,,4.658895,,,,,,-0.385275,,,,,,,3.410311,6.330088,4.597819,,,5.256598,,,,2.357157,,,,,3.106828,-3.418686,5.371965,,5.107512,,-0.733148,4.692151,2.434611,,2.229868,2.809567,,6.157044,5.330149,,1.303977,,,,,10.81759,,2.689478,,,,5.126286,,,2.389701,,,,,4.22416,,,,-4.96303,,,5.991352,,4.74574,,,,,,,,,,,-0.194042,2.877233,-1.443123,,,,,,,,,,,,,4.926493,4.847315,2.878379,3.966882,5.764338,1.450298,5.484919,2.974574,,,,4.683288,6.39784,,,,,4.358375,,,,2.133342,,,,,,,,3.04853,,3.763386,2.283234,,0.055069,,2.725355,4.247098,5.99991,,2.142112,6.484909,,,,5.499728,,,,,,,,,,6.245724,-2.016492,,5.116157,,,,,0.883051,,,,-1.609928,,,,,0.128081,,,5.767785,6.330088,,1.659655,,,,,,2.692464,2.116441,,,1.808414,,,,,3.258925,,,,4.705756,,,,,,,,,-0.571738,,,,1.830742,3.390271,,,,,,2.506724,6.046669,6.868833,,,,4.72065,,,,2.395183,,,,,,4.331502,
1509073,4.790983,,,,,2.914364,,3.418137,,,2.40988,,,3.713841,3.429371,,,,,,,,,,2.251104,-0.757739,,,,,,,,4.851915,,5.038808,,,-3.910019,,2.886334,-1.750516,,,,4.345449,1.842419,,,,,2.190251,,,,,,-2.651679,,,,,,,2.524393,3.268246,2.549386,,,4.345188,,3.736507,,1.172401,,,,,-0.325915,-4.028306,3.381458,,1.865096,,-2.323848,1.143713,1.325962,,1.317132,1.549577,,3.671368,1.894792,,-0.451645,,,,,8.917339,,1.229304,,,,5.038808,,,-3.52532,,,,,3.429371,,,,0.184333,,,4.950035,,4.063929,,,,,,,,,,,-1.20056,0.568527,-1.683137,,,,,,,,1.864064,,,,,4.335141,2.263103,1.573314,3.113588,,1.614802,3.080544,4.281066,,,,3.43533,7.21526,,,,,4.350717,,,,0.640685,,,,,,,,2.829211,,1.927569,1.161194,,2.6713,,1.003171,1.854989,3.028907,,1.626721,6.569519,,,,4.810762,,,,,,,1.429766,,,3.776748,-4.10263,,4.063793,,,,,0.613149,,,,0.918399,,,,,0.305604,,,5.038808,2.665947,,-1.961125,,,,,,,1.850872,,,-3.103184,,,,,1.846261,,,,2.164213,,,,,,,,3.99484,0.000914,,,,-0.75931,1.981051,,,,,,3.013987,4.901526,5.923739,,,,1.255399,,,,0.572226,,,,,,4.494709,
753599,3.656459,3.281592,3.788111,5.669162,-0.513664,1.584368,5.867196,2.63805,2.85272,3.926471,3.396617,5.192876,1.461099,5.052091,3.268436,5.197464,-0.806198,1.827131,-1.755058,4.490291,0.07726,5.789317,5.699307,0.450357,3.500283,1.930293,5.802511,6.366189,-2.742745,4.822629,4.064937,3.226285,1.744182,4.041144,-2.708492,3.073422,5.40399,3.154334,-2.196685,0.817938,2.75388,-1.093366,3.118324,-0.544106,3.349984,3.706452,2.469142,5.852821,4.478441,3.475752,5.644053,2.461625,3.553861,2.884383,3.251121,4.44198,-0.606689,0.191663,-3.033197,4.802377,4.504618,0.656584,4.260481,5.77802,2.378812,3.518917,1.969103,5.076086,2.656464,3.861608,-0.444537,2.768709,2.387554,4.702511,1.912282,3.124782,1.861245,1.657336,3.254207,-1.801129,2.645667,2.215763,3.478933,6.382796,-1.685836,3.151067,3.956635,1.987865,3.745322,2.04665,-2.573039,5.052091,3.856499,-3.118026,0.318838,1.160486,6.089861,1.260178,6.060053,7.404956,5.867196,-0.775174,4.468289,2.705072,1.767934,3.478681,1.756218,3.731036,-3.040898,3.836358,2.89518,0.023382,-4.494387,3.155858,4.031602,-0.855854,-2.638343,2.749506,4.177081,2.4053,3.557675,3.563277,4.597756,1.602836,-0.055807,1.117883,3.218921,4.466602,3.430597,1.941798,3.173036,2.668825,5.866853,2.314103,4.469261,2.435053,1.959053,3.338573,0.708421,2.328892,-1.316435,4.297976,3.304215,1.637064,-1.568338,3.255079,0.812041,1.667137,3.768573,3.656834,4.403151,3.567185,5.490311,2.012959,4.590642,3.480217,5.197766,5.669508,-2.699912,3.701005,4.851798,4.568872,5.829522,1.988259,4.239163,3.412853,-1.550385,1.235418,-0.053836,2.91509,0.604168,1.993636,4.238802,2.370064,4.095138,2.28858,1.67023,5.048892,3.227285,4.358944,4.935191,-4.185483,3.860714,5.862062,-1.017785,2.607315,3.196723,1.612892,3.160865,6.936126,-2.203143,1.640834,5.189844,5.05694,5.186821,0.856772,3.048884,2.342931,3.050772,2.837967,2.105045,2.295972,4.788061,3.493274,-0.252051,1.836674,4.394509,-2.48905,4.062357,1.611616,5.197766,3.65496,2.420939,0.417527,5.394323,1.744099,5.638518,5.049882,5.838109,3.52431,1.318519,-2.509757,4.649213,4.91602,4.538234,1.947594,3.00768,0.078594,5.805233,3.996254,0.345504,0.7549,1.784852,2.073319,-4.406227,4.307553,1.605009,0.741112,4.950905,-0.959445,5.197766,0.178555,1.977727,3.555365,-3.680678,3.724506,2.75846,5.197766,2.801987,-2.769313,-2.979914,2.776308,1.237398,2.535676,-2.034174,3.485631,3.665165,-1.802,0.267752,3.561685,1.357497,5.817464,5.644053,3.37361,-2.781974,3.709153,5.04186,5.796391,5.786548,1.918542,3.878369,2.239738,4.694097,0.230624,3.166355,1.341005,-2.059387,5.867196,3.80667,2.001844,5.127994,5.052091,3.20016
